java_path,rust_path,kind,java_type,rust_type,scenario_count,implementation_status,test_status,wire_fixture
core/src/main/java/org/fuin/ddd4j/core/AbstractVersionedAggregateException.java,crates/core/src/abstract_versioned_aggregate_exception.rs,production,AbstractVersionedAggregateException,AbstractVersionedAggregateException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AggregateAlreadyExistsException.java,crates/core/src/aggregate_already_exists_exception.rs,production,AggregateAlreadyExistsException,AggregateAlreadyExistsException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AggregateCache.java,crates/core/src/aggregate_cache.rs,production,AggregateCache,AggregateCache,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AggregateDeletedException.java,crates/core/src/aggregate_deleted_exception.rs,production,AggregateDeletedException,AggregateDeletedException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AggregateNoCache.java,crates/core/src/aggregate_no_cache.rs,production,AggregateNoCache,AggregateNoCache,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AggregateNotFoundException.java,crates/core/src/aggregate_not_found_exception.rs,production,AggregateNotFoundException,AggregateNotFoundException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AggregateRoot.java,crates/core/src/aggregate_root.rs,production,AggregateRoot,AggregateRoot,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AggregateRootId.java,crates/core/src/aggregate_root_id.rs,production,AggregateRootId,AggregateRootId,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AggregateRootUuid.java,crates/core/src/aggregate_root_uuid.rs,production,AggregateRootUuid,AggregateRootUuid,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AggregateVersion.java,crates/core/src/aggregate_version.rs,production,AggregateVersion,AggregateVersion,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AggregateVersionConflictException.java,crates/core/src/aggregate_version_conflict_exception.rs,production,AggregateVersionConflictException,AggregateVersionConflictException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AggregateVersionNotFoundException.java,crates/core/src/aggregate_version_not_found_exception.rs,production,AggregateVersionNotFoundException,AggregateVersionNotFoundException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/ApplyEvent.java,crates/core/src/apply_event.rs,production,ApplyEvent,ApplyEvent,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/BusinessKey.java,crates/core/src/business_key.rs,production,BusinessKey,BusinessKey,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/ChildEntityLocator.java,crates/core/src/child_entity_locator.rs,production,ChildEntityLocator,ChildEntityLocator,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/Ddd4JUtils.java,crates/core/src/ddd4j_utils.rs,production,Ddd4JUtils,Ddd4JUtils|Adler32,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/DecryptionFailedException.java,crates/core/src/decryption_failed_exception.rs,production,DecryptionFailedException,DecryptionFailedException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/DomainEvent.java,crates/core/src/domain_event.rs,production,DomainEvent,DomainEvent,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/DomainEventExpectedEntityIdPath.java,crates/core/src/domain_event_expected_entity_id_path.rs,production,DomainEventExpectedEntityIdPath,DomainEventExpectedEntityIdPath,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/DomainEventExpectedEntityIdPathValidator.java,crates/core/src/domain_event_expected_entity_id_path_validator.rs,production,DomainEventExpectedEntityIdPathValidator,DomainEventExpectedEntityIdPathValidator,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/DuplicateEncryptionKeyIdException.java,crates/core/src/duplicate_encryption_key_id_exception.rs,production,DuplicateEncryptionKeyIdException,DuplicateEncryptionKeyIdException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/DuplicateEntityException.java,crates/core/src/duplicate_entity_exception.rs,production,DuplicateEntityException,DuplicateEntityException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/EncryptedData.java,crates/core/src/encrypted_data.rs,production,EncryptedData,EncryptedData,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/EncryptedDataService.java,crates/core/src/encrypted_data_service.rs,production,EncryptedDataService,EncryptionError|EncryptedDataService,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/EncryptionKeyIdUnknownException.java,crates/core/src/encryption_key_id_unknown_exception.rs,production,EncryptionKeyIdUnknownException,EncryptionKeyIdUnknownException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/EncryptionKeyVersionUnknownException.java,crates/core/src/encryption_key_version_unknown_exception.rs,production,EncryptionKeyVersionUnknownException,EncryptionKeyVersionUnknownException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/Entity.java,crates/core/src/entity.rs,production,Entity,Entity,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/EntityId.java,crates/core/src/entity_id.rs,production,EntityId,EntityId,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/EntityIdFactory.java,crates/core/src/entity_id_factory.rs,production,EntityIdFactory,EntityIdFactory,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/EntityIdPath.java,crates/core/src/entity_id_path.rs,production,EntityIdPath,EntityIdPathError|EntityIdPath,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/EntityNotFoundException.java,crates/core/src/entity_not_found_exception.rs,production,EntityNotFoundException,EntityNotFoundException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/EntityType.java,crates/core/src/entity_type.rs,production,EntityType,EntityType,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/Event.java,crates/core/src/event.rs,production,Event,Event,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/EventId.java,crates/core/src/event_id.rs,production,EventId,EventId,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/EventType.java,crates/core/src/event_type.rs,production,EventType,EventTypeError|EventType,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/ExceptionData.java,crates/core/src/exception_data.rs,production,ExceptionData,ExceptionData,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/ExpectedEntityIdPath.java,crates/core/src/expected_entity_id_path.rs,production,ExpectedEntityIdPath,ExpectedEntityIdPath,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/ExpectedEntityIdPathValidator.java,crates/core/src/expected_entity_id_path_validator.rs,production,ExpectedEntityIdPathValidator,ExpectedEntityIdPathValidator,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/HasEntityTypeConstant.java,crates/core/src/has_entity_type_constant.rs,production,HasEntityTypeConstant,HasEntityTypeConstant,0,implemented,not_applicable,
